Nombre de Comunidad;Código de Provincia;Nombre de Provincia;Población;Número de mesas;Censo electoral sin CERA;Censo CERA;Total censo electoral;Solicitudes voto CERA aceptadas;Total votantes CER;Total votantes CERA;Total votantes;Votos válidos;Votos a candidaturas;Votos en blanco;Votos nulos;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados;Votos;Diputados
Aragón                        ;50;Zaragoza                      ;954,811;1,432;714,450;23,781;738,231;3,500;557,429;2,430;559,859;554,407;549,546;4,861;5,452;173,557;3;99,527;1;115,651;1;77,555;1;70,663;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,469;0;0;0;0;0;1,428;0;0;0;0;0;0;0;0;0;749;0;0;0;589;0;0;0;0;0;0;0;453;0;0;0;2,626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;621;0;658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Principado de Asturias        ;33;Asturias                      ;1,028,244;1,573;856,759;117,732;974,491;7,814;628,445;5,156;633,601;626,661;619,803;6,858;6,940;207,586;3;112,180;1;104,688;1;107,426;1;72,018;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,670;0;0;0;0;0;1,133;0;0;0;4,554;0;0;0;0;0;777;0;0;0;1,359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Illes Balears                 ;7;Illes Balears                 ;1,128,908;1,215;774,116;27,605;801,721;1,762;522,993;1,108;524,101;518,507;513,860;4,647;5,594;136,698;3;87,352;1;90,340;1;92,477;2;58,567;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,864;0;0;0;0;0;1,197;0;0;0;796;0;25,191;0;0;0;686;0;0;0;0;0;11,692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Canarias                      ;35;Las Palmas                    ;1,109,175;1,510;820,412;47,774;868,186;2,066;551,398;1,093;552,491;545,052;540,791;4,261;7,439;154,342;3;88,313;2;84,015;1;91,216;2;38,229;0;0;0;0;0;0;0;0;0;0;0;0;0;34,853;0;0;0;0;0;0;0;8,669;0;0;0;0;0;1,439;0;36,225;0;0;0;0;0;0;0;837;0;0;0;0;0;0;0;0;0;0;0;831;0;0;0;0;0;0;0;0;0;0;0;559;0;0;0;0;0;0;0;0;0;1,263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Canarias                      ;38;Santa Cruz de Tenerife        ;1,018,510;1,315;752,355;99,541;851,896;4,004;520,481;1,401;521,882;516,484;513,132;3,352;5,398;141,132;2;76,491;1;71,667;1;75,695;1;31,385;0;0;0;0;0;0;0;0;0;0;0;0;0;102,811;2;0;0;0;0;0;0;9,157;0;0;0;0;0;1,212;0;0;0;0;0;0;0;0;0;582;0;0;0;0;0;0;0;0;0;0;0;655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cantabria                     ;39;Cantabria                     ;580,229;823;462,906;38,505;501,411;2,785;361,057;1,853;362,910;359,104;356,801;2,303;3,806;90,534;2;77,902;1;54,361;1;36,784;0;40,139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52,266;1;3,049;0;0;0;0;0;332;0;0;0;0;0;0;0;0;0;274;0;0;0;260;0;0;0;0;0;0;0;286;0;0;0;427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha          ;2;Albacete                      ;388,786;517;302,742;7,465;310,207;876;236,737;645;237,382;234,404;232,699;1,705;2,978;75,005;2;51,817;1;43,835;1;24,855;0;33,948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,205;0;0;0;0;0;324;0;0;0;0;0;0;0;0;0;304;0;0;0;182;0;0;0;0;0;0;0;224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha          ;13;Ciudad Real                   ;499,100;705;390,146;6,364;396,510;866;297,577;571;298,148;293,907;291,443;2,464;4,241;100,720;2;69,559;1;50,733;1;26,952;0;40,313;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,360;0;0;0;0;0;529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;277;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha          ;16;Cuenca                        ;197,222;383;151,930;3,084;155,014;353;120,920;207;121,127;119,530;118,515;1,015;1,597;42,654;2;31,997;1;16,467;0;9,482;0;16,755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;776;0;0;0;0;0;135;0;0;0;0;0;0;0;0;0;109;0;0;0;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castilla - La Mancha          ;19;Guadalajara                   ;254,308;547;182,091;4,416;186,507;591;144,221;390;144,611;142,707;141,711;996;1,904;42,521;1;28,618;1;26,817;1;17,524;0;23,501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,816;0;0;0;0;0;335;0;0;0;0;0;0;0;0;0;254;0;0;0;0;0;0;0;0;0;325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
